runs	nb_step	PROINPA_MST.Satisfaction	PROINPA_MST.Influence	PROINPA_MST.Aim	SEEDS_PROD.Satisfaction	SEEDS_PROD.Influence	SEEDS_PROD.Aim	SEEDS_IMP.Satisfaction	SEEDS_IMP.Influence	SEEDS_IMP.Aim	POTAT_PROD.Satisfaction	POTAT_PROD.Influence	POTAT_PROD.Aim	STATE.Satisfaction	STATE.Influence	STATE.Aim	MAFIA_MARKET.Satisfaction	MAFIA_MARKET.Influence	MAFIA_MARKET.Aim	PREBASIC_S.State	CERTIFIED_S.State	IMPORTED_S.State	POTATOES.State	RECYCLED_S.State	SUPPORT_N.State	MANIPUL_M.State
10	14984.0	18.8	44.81	18.8	31.96	46.4	31.96	52.71	39.18	52.71	54.76	99.97	54.76	71.74	20.81	71.74	50.6	28.97	50.6	10.0	1.4	9.6	3.4	0.2	-1.0	9.9
11	12393.0	5.52	44.81	5.52	18.99	46.77	18.99	54.97	39.18	54.97	50.36	92.94	50.36	72.32	-4.94	72.32	45.56	27.99	45.56	10.0	4.4	9.5	3.4	3.4	-5.7	9.6
12	12476.0	15.27	44.81	15.27	30.11	41.3	30.11	56.72	39.9	56.72	51.52	102.31	51.52	73.86	17.62	73.86	46.76	27.99	46.76	10.0	-0.1	10.0	4.8	0.6	-1.5	9.6
13	14520.0	13.25	40.53	13.25	27.24	47.87	27.24	52.29	39.9	52.29	51.24	100.05	51.24	71.75	9.67	71.75	52.11	29.3	52.11	8.5	2.3	10.0	3.4	-1.2	-2.8	10.0
14	22771.0	12.43	43.68	12.43	24.77	33.15	24.77	55.23	39.9	55.23	47.06	100.05	47.06	65.39	13.25	65.39	52.32	27.66	52.32	9.7	-1.6	10.0	3.4	-1.2	-2.2	9.5
15	17611.0	19.62	44.81	19.62	33.94	47.77	33.94	54.74	39.9	54.74	57.91	99.11	57.91	74.75	25.24	74.75	43.36	29.3	43.36	10.0	2.2	10.0	4.8	2.2	-0.3	10.0
16	15050.0	5.73	34.67	5.73	26.01	40.85	26.01	59.33	39.9	59.33	53.57	98.86	53.57	73.11	22.09	73.11	47.55	29.3	47.55	6.5	-0.2	10.0	4.8	2.3	-0.8	10.0
17	19333.0	20.75	44.81	20.75	33.99	46.16	33.99	53.84	39.18	53.84	53.03	103.33	53.03	75.55	19.53	75.55	44.59	29.3	44.59	10.0	1.3	9.6	4.6	-0.6	-1.2	10.0
18	20522.0	9.9	44.81	9.9	26.29	45.63	26.29	56.94	39.9	56.94	53.35	94.28	53.35	72.63	15.72	72.63	48.2	29.3	48.2	10.0	1.1	10.0	3.8	3.4	-1.8	10.0
19	16466.0	18.22	42.91	18.22	31.35	48.14	31.35	54.25	39.9	54.25	53.12	102.94	53.12	77.08	12.03	77.08	43.94	29.3	43.94	9.4	2.7	10.0	4.4	-0.2	-2.4	10.0
20	15934.0	8.79	44.81	8.79	23.96	42.57	23.96	57.15	39.9	57.15	46.02	101.21	46.02	70.54	2.6	70.54	51.53	29.3	51.53	10.0	0.2	10.0	3.6	-0.4	-4.1	10.0
21	16711.0	9.28	44.81	9.28	26.14	42.16	26.14	58.38	39.9	58.38	51.99	91.68	51.99	73.49	16.98	73.49	42.1	29.3	42.1	10.0	0.1	10.0	4.9	4.7	-1.6	10.0
22	24634.0	8.17	42.13	8.17	25.16	44.41	25.16	56.09	39.9	56.09	53.2	92.63	53.2	69.26	15.72	69.26	51.96	29.3	51.96	9.1	0.7	10.0	3.0	2.9	-1.8	10.0
